time,longitude,latitude,tp,u10,v10,r,t2m,fwi
1979-05-07 12:00:00,18.25,40.5,0.0011110324,-1.5943416,-2.980662,65.56765,291.06955,5.7141113
1979-05-08 12:00:00,18.25,40.5,0.0004189359,1.5199972,-6.0095162,80.65771,290.76233,14.154907
1979-05-09 12:00:00,18.25,40.5,7.683411e-07,2.5050447,-5.7741165,74.21801,290.11105,15.314331
1979-05-10 12:00:00,18.25,40.5,3.617676e-05,2.2771053,-5.336394,75.20957,290.455,15.555786
1979-05-11 12:00:00,18.25,40.5,0.009305535,0.52251077,-4.3116317,81.846985,290.6783,1.4822998
1979-05-12 12:00:00,18.25,40.5,0.0016675415,0.60670984,-3.7813427,71.82069,291.12598,5.9257812
1979-05-13 12:00:00,18.25,40.5,0.00039771316,0.5857298,-5.83519,68.13544,291.6862,13.323853
1979-05-14 12:00:00,18.25,40.5,0.0,-0.33044353,-6.9498305,58.010162,292.26907,18.397827
1979-05-15 12:00:00,18.25,40.5,0.00028191973,-1.3372418,-2.8609688,64.84434,291.63254,9.439697
1979-05-16 12:00:00,18.25,40.5,0.0012139911,0.7973554,-1.8473803,60.70338,290.70026,10.480103
1979-05-17 12:00:00,18.25,40.5,7.2627794e-05,0.7179055,-0.1222536,54.593533,291.23242,10.867676
1979-05-18 12:00:00,18.25,40.5,1.0510907e-05,-0.17704141,-1.6432943,58.210194,292.01135,15.385376
1979-05-19 12:00:00,18.25,40.5,0.0,0.7324062,-2.6785219,49.14552,292.42834,19.110107
1979-05-20 12:00:00,18.25,40.5,0.0,1.1670942,-3.2406044,43.399124,294.10403,19.913452
1979-05-21 12:00:00,18.25,40.5,2.7939677e-09,0.051993135,-0.55989355,44.653584,294.84964,29.828003
1979-05-22 12:00:00,18.25,40.5,2.7939677e-09,2.8872936,-5.272508,58.448532,294.0751,30.192749
1979-05-23 12:00:00,18.25,40.5,0.0,2.0235264,-4.1609154,59.8697,293.26746,21.658447
1979-05-24 12:00:00,18.25,40.5,-5.5879354e-09,-0.22991288,-0.69556457,57.65239,293.48477,16.980957
1979-05-25 12:00:00,18.25,40.5,-5.5879354e-09,-0.5947596,4.1445622,63.681442,294.93442,25.17273
1979-05-26 12:00:00,18.25,40.5,9.355135e-07,-0.8899946,3.6453755,70.74874,295.0195,18.33606
1979-05-27 12:00:00,18.25,40.5,7.6002907e-06,-0.16590632,1.8680345,52.121136,295.42126,18.517334
1979-05-28 12:00:00,18.25,40.5,1.0067597e-06,-0.22095965,0.8960715,44.68097,296.37888,19.989014
1979-05-29 12:00:00,18.25,40.5,0.0,0.2556976,-3.2227466,45.215374,297.1791,33.103394
1979-05-30 12:00:00,18.25,40.5,0.00073584076,2.692351,-4.117597,60.90923,296.5666,17.975098
1979-05-31 12:00:00,18.25,40.5,0.00064369664,0.10318464,-3.828642,72.39295,294.5949,20.234253
1979-06-01 12:00:00,18.25,40.5,-5.5879354e-09,1.0158911,-3.784523,59.294586,296.0952,26.879639
1979-06-02 12:00:00,18.25,40.5,1.6123056e-05,2.1619666,-4.5195823,61.35551,297.0026,24.863647
1979-06-03 12:00:00,18.25,40.5,5.5879354e-09,0.6762662,-4.3888593,59.20798,297.3092,27.083008
1979-06-04 12:00:00,18.25,40.5,0.0,1.6444954,-4.6583476,60.529755,297.5623,26.248047
1979-06-05 12:00:00,18.25,40.5,2.7897768e-06,0.3660706,-2.467959,62.32085,297.50577,19.080688
1979-06-06 12:00:00,18.25,40.5,5.3183176e-06,0.15717255,2.778449,43.23872,298.08667,24.072144
1979-06-07 12:00:00,18.25,40.5,9.1027934e-05,0.14091933,2.3616273,54.74766,297.938,23.048462
1979-06-08 12:00:00,18.25,40.5,0.0,0.2777497,1.5679059,49.756977,297.47894,22.680542
1979-06-09 12:00:00,18.25,40.5,1.879409e-06,-0.95551896,-0.7503958,58.656055,297.504,22.106934
1979-06-10 12:00:00,18.25,40.5,4.427787e-05,-0.52474344,-0.30558372,58.433483,297.40524,23.432251
1979-06-11 12:00:00,18.25,40.5,0.00022404082,-0.55239064,-2.7505028,62.267487,297.8924,21.53772
1979-06-12 12:00:00,18.25,40.5,0.0,0.30628765,-3.0502815,52.428333,298.35452,25.016846
1979-06-13 12:00:00,18.25,40.5,0.0,0.023119062,-2.2516725,47.662167,298.52963,20.521606
1979-06-14 12:00:00,18.25,40.5,0.0,-0.851202,1.3692607,48.706448,300.01974,36.974976
1979-06-15 12:00:00,18.25,40.5,0.0,0.8372321,2.5146935,43.931858,301.13406,31.843384
1979-06-16 12:00:00,18.25,40.5,7.113069e-05,0.006937623,3.9428654,57.265106,300.01053,40.592285
1979-06-17 12:00:00,18.25,40.5,5.2370597e-05,-1.1216577,5.6676803,66.595955,299.33194,26.543213
1979-06-18 12:00:00,18.25,40.5,0.0041883704,0.28648078,-2.5056355,69.29421,295.62888,9.465698
1979-06-19 12:00:00,18.25,40.5,0.00020933105,0.2297012,-4.4941726,64.769325,295.10718,20.53833
1979-06-20 12:00:00,18.25,40.5,7.6546334e-05,0.765454,-3.646187,67.5837,294.93222,18.222046
1979-06-21 12:00:00,18.25,40.5,0.03564304,-0.17353861,0.43677983,80.791504,293.02527,0.15161133
1979-06-22 12:00:00,18.25,40.5,0.0064228,3.1129715,-1.9210902,79.260635,293.1123,1.8497314
1979-06-23 12:00:00,18.25,40.5,0.000119082164,1.611918,-1.5498585,60.768276,295.43887,5.7019043
1979-06-24 12:00:00,18.25,40.5,0.0018297336,1.1759875,-2.506972,71.41967,295.43497,7.7939453
1979-06-25 12:00:00,18.25,40.5,0.0048228726,1.1154402,-3.3810337,81.14007,295.7743,4.970337
1979-06-26 12:00:00,18.25,40.5,-1.1175871e-08,0.07920609,-1.9270631,55.32019,296.24747,7.041992
1979-06-27 12:00:00,18.25,40.5,-1.6763806e-08,-0.85825604,-1.1200465,50.82271,297.28625,8.969238
1979-06-28 12:00:00,18.25,40.5,-1.1175871e-08,-0.23935069,-2.0962484,51.629444,297.39322,11.937256
1979-06-29 12:00:00,18.25,40.5,0.0,0.91978735,-3.0747223,60.2671,297.9499,15.967529
1979-06-30 12:00:00,18.25,40.5,4.7171488e-07,1.8372116,-3.6722286,71.95086,298.42117,15.4782715
1979-07-01 12:00:00,18.25,40.5,8.114707e-05,-0.5265441,-0.93607026,64.046265,298.74966,11.895752
1979-07-02 12:00:00,18.25,40.5,8.777296e-05,-1.3484349,2.1384134,66.82537,299.29834,23.844482
1979-07-03 12:00:00,18.25,40.5,0.00014659157,-0.65172595,5.197841,69.31165,299.58597,19.149902
1979-07-04 12:00:00,18.25,40.5,0.0024008146,0.2917836,2.7418976,76.745,298.94138,11.651611
1979-07-05 12:00:00,18.25,40.5,0.0004723342,2.2808683,-5.1255083,73.778206,297.07974,25.795044
1979-07-06 12:00:00,18.25,40.5,1.8919818e-06,2.2471328,-5.047281,58.9371,297.15103,23.815308
1979-07-07 12:00:00,18.25,40.5,0.00030841632,2.2526162,-4.638597,56.07143,296.68512,29.137207
1979-07-08 12:00:00,18.25,40.5,9.643845e-07,2.190408,-4.1995635,62.68475,296.64023,22.600586
1979-07-09 12:00:00,18.25,40.5,0.0031293752,0.89059013,-1.0641302,56.706043,297.52563,9.415894
1979-07-10 12:00:00,18.25,40.5,1.1144206e-05,1.624179,-5.355038,58.274994,296.12183,18.60791
1979-07-11 12:00:00,18.25,40.5,0.0,-0.106800914,-2.5725696,59.33199,296.4779,17.938965
1979-07-12 12:00:00,18.25,40.5,0.0,-1.0827911,-1.7373899,48.66199,297.6659,15.92749
1979-07-13 12:00:00,18.25,40.5,5.5879354e-09,-1.0223994,0.957077,43.890152,299.75668,22.24292
1979-07-14 12:00:00,18.25,40.5,0.0,0.38890705,2.1077828,48.689117,301.11194,22.085571
1979-07-15 12:00:00,18.25,40.5,0.00010644272,1.7079549,-4.802195,70.656715,299.52856,33.177124
1979-07-16 12:00:00,18.25,40.5,9.0850517e-07,4.002519,-6.383411,67.636925,298.93933,36.366577
1979-07-17 12:00:00,18.25,40.5,-5.5879354e-09,1.6244507,-2.5831354,55.52023,297.86966,20.372437
1979-07-18 12:00:00,18.25,40.5,0.002512692,0.4081342,-2.6525671,66.10934,298.02466,11.985962
1979-07-19 12:00:00,18.25,40.5,0.0003013066,1.2736984,-3.7963822,72.245766,297.76938,16.44458
1979-07-20 12:00:00,18.25,40.5,0.0,-0.9586355,-0.031016788,46.711933,298.93723,17.963623
1979-07-21 12:00:00,18.25,40.5,0.0,-0.9639902,1.4933214,44.650867,301.0686,31.28833
1979-07-22 12:00:00,18.25,40.5,0.0,0.9652553,0.8619068,48.606632,301.9965,25.847412
1979-07-23 12:00:00,18.25,40.5,0.0,-0.05263428,-2.9016857,65.23004,300.17233,23.60498
1979-07-24 12:00:00,18.25,40.5,6.271526e-06,1.6637,-5.2120013,68.37764,299.91592,38.70349
1979-07-25 12:00:00,18.25,40.5,8.52989e-05,3.2452452,-6.0989933,64.64191,298.14212,37.149048
1979-07-26 12:00:00,18.25,40.5,0.0,1.5026951,-5.0689163,62.283436,297.91238,28.395264
1979-07-27 12:00:00,18.25,40.5,7.5730495e-06,-0.5518052,-2.896203,47.31253,297.77164,27.724731
1979-07-28 12:00:00,18.25,40.5,4.806556e-06,1.8573688,-4.7124887,65.239365,298.79663,43.61255
1979-07-29 12:00:00,18.25,40.5,0.0,2.299845,-5.45055,61.04195,298.84778,32.84192
1979-07-30 12:00:00,18.25,40.5,-5.5879354e-09,0.36798453,-1.8996986,52.740223,298.00394,24.640137
1979-07-31 12:00:00,18.25,40.5,-1.1175871e-08,-0.62873167,3.5661669,61.01594,300.48953,29.099243
1979-08-01 12:00:00,18.25,40.5,-5.5879354e-09,-0.34059045,2.7605202,52.375294,300.88806,31.410767
1979-08-02 12:00:00,18.25,40.5,1.1175871e-08,-0.4782041,2.552976,53.228893,301.676,24.690918
1979-08-03 12:00:00,18.25,40.5,1.6763806e-08,-0.47604156,-2.5889604,61.10375,300.84314,31.012207
1979-08-04 12:00:00,18.25,40.5,-5.5879354e-09,0.89892554,-3.430835,58.692776,300.5784,35.45508
1979-08-05 12:00:00,18.25,40.5,0.0,1.5230331,-3.989999,49.775303,302.3184,45.107056
1979-08-06 12:00:00,18.25,40.5,1.1175871e-08,2.5006812,-5.486319,58.22412,300.88864,40.02466
1979-08-07 12:00:00,18.25,40.5,0.0,1.3543853,-4.0953546,58.943554,299.3732,33.143433
1979-08-08 12:00:00,18.25,40.5,0.0,-0.42669496,-1.6699954,65.22726,298.55637,24.341064
1979-08-09 12:00:00,18.25,40.5,0.00023297966,-0.75244313,2.5945616,66.840965,300.19034,36.102905
1979-08-10 12:00:00,18.25,40.5,0.0005812049,-0.8274887,1.7959164,69.58634,299.66232,23.483154
1979-08-11 12:00:00,18.25,40.5,0.0012596007,-0.5752113,1.7236964,67.97446,300.09186,13.146118
1979-08-12 12:00:00,18.25,40.5,0.0039029075,2.081805,-4.152643,72.682594,297.09302,11.720459
1979-08-13 12:00:00,18.25,40.5,0.00035375543,2.1810696,-5.547573,51.947094,297.09427,30.169434
1979-08-14 12:00:00,18.25,40.5,1.6605947e-05,2.9172533,-6.2472835,46.49139,296.71185,42.782104
1979-08-15 12:00:00,18.25,40.5,3.078766e-05,2.4663165,-4.813467,61.133976,297.2307,31.351807
1979-08-16 12:00:00,18.25,40.5,9.458605e-05,1.6210874,-2.7365882,65.38909,297.7464,21.231445
1979-08-17 12:00:00,18.25,40.5,5.5493787e-05,-0.98566365,0.4674262,68.49558,297.84164,25.24768
1979-08-18 12:00:00,18.25,40.5,0.0016669799,-1.5618929,3.6221893,71.02214,297.54102,10.816406
1979-08-19 12:00:00,18.25,40.5,0.0010523167,-0.23076868,5.270727,72.12385,297.67844,26.278076
1979-08-20 12:00:00,18.25,40.5,2.0390842e-05,1.8509239,3.388108,58.465183,298.62637,23.51831
1979-08-21 12:00:00,18.25,40.5,0.004965372,0.082582645,1.4913374,69.53124,297.20618,6.8603516
1979-08-22 12:00:00,18.25,40.5,0.012508013,1.769545,-3.215433,83.344475,294.57016,4.529541
1979-08-23 12:00:00,18.25,40.5,0.00030619,2.5319355,-4.408497,73.87265,296.8148,9.401367
1979-08-24 12:00:00,18.25,40.5,4.7767535e-06,-0.0268356,-0.93631935,71.46173,296.32565,14.102051
